pk_hash,linked_pct,linked_year,linked_method,max_pct,max_pct_year,latest_pct,latest_year,n_attempts,gap,band,is_not_highest,pct_diff,is_dup_best
f8e9934d5679,28.0,2010,EXACT,28.0,2010,28.0,2010,1,8.0,B3,False,0.0,False
6eb24b8a5bfb,30.0,2012,EXACT,30.0,2012,30.0,2012,1,6.0,B4,False,0.0,False
735f9106573a,5.0,2013,EXACT,5.0,2013,5.0,2013,1,6.0,B1,False,0.0,False
64d7f1d395b5,30.0,2011,EXACT,30.0,2011,30.0,2011,1,5.0,B4,False,0.0,False
6a4cde74cd06,26.0,2011,EXACT,26.0,2011,26.0,2011,1,6.0,B3,False,0.0,False
d74a0b0857aa,23.0,2012,MANUAL_APPNO_MATCH,23.0,2012,23.0,2012,1,,B3,False,0.0,False
89a718a4275c,-1.0,2013,MANUAL_APPNO_MATCH,-1.0,2013,-1.0,2013,1,,B1,False,0.0,False
537ec5a7861e,11.0,2007,EXACT,11.0,2007,11.0,2007,1,10.0,B2,False,0.0,False
bdc611fbb167,19.0,2007,EXACT,19.0,2007,19.0,2007,1,8.0,B2,False,0.0,False
3d2a6b367f33,7.0,2010,EXACT,7.0,2010,7.0,2010,1,11.0,B1,False,0.0,False
1f52b007d6b1,33.0,2008,EXACT,33.0,2008,33.0,2008,1,8.0,B4,False,0.0,False
dbbb083f6b3e,6.0,2011,EXACT,6.0,2011,6.0,2011,1,8.0,B1,False,0.0,False
5499f4e7ff5e,24.0,2007,EXACT,24.0,2007,24.0,2007,1,7.0,B3,False,0.0,False
ab49e2a50846,39.0,2007,EXACT,39.0,2007,39.0,2007,1,8.0,B4,False,0.0,False
acb8f844ac8e,32.0,2007,EXACT,32.0,2007,32.0,2007,1,6.0,B4,False,0.0,False
7e13a876957a,39.0,2007,EXACT,39.0,2007,39.0,2007,1,6.0,B4,False,0.0,False
5d8f5e67ffa1,38.0,2008,MANUAL_APPNO_MATCH,38.0,2008,38.0,2008,1,,B4,False,0.0,False
c1e2415d0587,23.0,2010,MANUAL_APPNO_MATCH,23.0,2010,23.0,2010,1,,B3,False,0.0,False
75108c0ea8e7,39.0,2012,EXACT,39.0,2012,39.0,2012,1,6.0,B4,False,0.0,False
758daf41b8cb,22.0,2007,EXACT,22.0,2007,22.0,2007,1,7.0,B3,False,0.0,False
ff670800ae3a,32.0,2011,EXACT,32.0,2011,32.0,2011,1,7.0,B4,False,0.0,False
60ea3a83cdb7,37.0,2009,EXACT,37.0,2009,37.0,2009,1,6.0,B4,False,0.0,False
d5bb5eb7da46,5.0,2011,MANUAL_APPNO_MATCH,5.0,2011,5.0,2011,1,,B1,False,0.0,False
73b7e05ec0db,11.0,2006,MANUAL_APPNO_MATCH,11.0,2006,11.0,2006,1,,B2,False,0.0,False
38d0e8142a65,19.0,2011,EXACT,19.0,2011,19.0,2011,1,7.0,B2,False,0.0,False
3236f139b8bc,18.0,2006,EXACT,18.0,2006,18.0,2006,1,10.0,B2,False,0.0,False
ad5450d4592c,21.0,2008,EXACT,21.0,2008,21.0,2008,1,7.0,B3,False,0.0,False
803f63670b58,37.0,2009,EXACT,37.0,2009,37.0,2009,1,6.0,B4,False,0.0,False
1ce814c784df,22.0,2007,MANUAL_APPNO_MATCH,22.0,2007,22.0,2007,1,,B3,False,0.0,False
396b1d77d919,15.0,2010,EXACT,15.0,2010,15.0,2010,1,6.0,B2,False,0.0,False
4b9d872d56b7,14.0,2009,EXACT,14.0,2009,14.0,2009,1,10.0,B2,False,0.0,False
dffce24d6a90,5.0,2010,EXACT,5.0,2010,5.0,2010,1,11.0,B1,False,0.0,False
1ed44df64327,13.0,2011,EXACT,13.0,2011,13.0,2011,1,7.0,B2,False,0.0,False
48da12a4c9a6,28.0,2010,EXACT,28.0,2010,28.0,2010,1,6.0,B3,False,0.0,False
5e8d4f520a87,5.0,2011,EXACT,5.0,2011,5.0,2011,1,8.0,B1,False,0.0,False
54bc7453e7d6,34.0,2011,EXACT,34.0,2011,34.0,2011,1,6.0,B4,False,0.0,False
e462336fb564,13.0,2013,EXACT,13.0,2013,13.0,2013,1,9.0,B2,False,0.0,False
2be752c363a1,23.0,2008,EXACT,23.0,2008,23.0,2008,1,11.0,B3,False,0.0,False
fb444ede64ae,14.0,2012,EXACT,14.0,2012,14.0,2012,1,6.0,B2,False,0.0,False
23e43186e6fa,24.0,2012,EXACT,24.0,2012,24.0,2012,1,6.0,B3,False,0.0,False
572ccbd4a4ec,20.0,2014,EXACT,20.0,2014,20.0,2014,1,5.0,B3,False,0.0,False
9604cd15c39a,30.0,2009,EXACT,30.0,2009,30.0,2009,1,7.0,B4,False,0.0,False
70e98c174ab6,33.0,2013,MANUAL_APPNO_MATCH,33.0,2013,33.0,2013,2,,B4,False,0.0,False
5a4518af4ed3,30.0,2006,EXACT,30.0,2006,30.0,2006,1,9.0,B4,False,0.0,False
782b17f2b436,27.0,2007,EXACT,27.0,2007,27.0,2007,1,6.0,B3,False,0.0,False
f7314c7d10d3,34.0,2008,EXACT,34.0,2008,34.0,2008,1,6.0,B4,False,0.0,False
2123ac79128b,9.0,2010,EXACT,9.0,2010,9.0,2010,1,8.0,B1,False,0.0,False
0a477ed63f76,33.0,2010,EXACT,33.0,2010,33.0,2010,1,8.0,B4,False,0.0,False
c885f726a450,12.0,2010,EXACT,12.0,2010,12.0,2010,1,7.0,B2,False,0.0,False
462cf74af761,15.0,2008,EXACT,15.0,2008,15.0,2008,1,5.0,B2,False,0.0,False
1e58941ab064,27.0,2006,EXACT,27.0,2006,27.0,2006,1,7.0,B3,False,0.0,False
86ea4b35de9e,21.0,2007,EXACT,21.0,2007,21.0,2007,1,7.0,B3,False,0.0,False
711884923be6,27.0,2011,EXACT,27.0,2011,27.0,2011,1,7.0,B3,False,0.0,False
3f02c39b4d82,7.0,2007,EXACT,7.0,2007,7.0,2007,1,6.0,B1,False,0.0,False
3d2358c0c23e,8.0,2007,EXACT,8.0,2007,8.0,2007,1,7.0,B1,False,0.0,False
c0a824d32e98,39.0,2011,EXACT,39.0,2011,39.0,2011,1,6.0,B4,False,0.0,False
faf166d409fd,2.0,2008,MANUAL_APPNO_MATCH,2.0,2008,2.0,2008,1,,B1,False,0.0,False
b337c1ee3ef2,37.0,2007,MANUAL_APPNO_MATCH,40.0,2006,37.0,2007,2,,B4,True,3.0,False
a8ededfbd5c6,11.0,2008,EXACT,11.0,2008,11.0,2008,1,11.0,B2,False,0.0,False
0d50eeb8e496,26.0,2012,EXACT,26.0,2012,26.0,2012,1,7.0,B3,False,0.0,False
e50f509a5b8b,12.0,2007,EXACT,12.0,2007,12.0,2007,1,6.0,B2,False,0.0,False
b55a9ee3a7cd,6.0,2008,EXACT,6.0,2008,6.0,2008,1,10.0,B1,False,0.0,False
d777020cc213,9.0,2008,EXACT,9.0,2008,9.0,2008,1,9.0,B1,False,0.0,False
9e6412b086c2,35.0,2009,EXACT,35.0,2009,35.0,2009,1,7.0,B4,False,0.0,False
07e768961c05,23.0,2013,EXACT,23.0,2013,23.0,2013,1,6.0,B3,False,0.0,False
b8cc5a685a89,39.0,2012,EXACT,39.0,2012,39.0,2012,1,6.0,B4,False,0.0,False
0b7d7a58345b,28.0,2006,EXACT,28.0,2006,28.0,2006,1,6.0,B3,False,0.0,False
7370df037bdf,23.0,2012,EXACT,23.0,2012,23.0,2012,1,7.0,B3,False,0.0,False
dfe4e39e722d,22.0,2007,EXACT,22.0,2007,22.0,2007,1,6.0,B3,False,0.0,False
3f2c6d483b32,18.0,2006,EXACT,18.0,2006,18.0,2006,1,7.0,B2,False,0.0,False
6439283d5456,23.0,2011,EXACT,23.0,2011,23.0,2011,1,5.0,B3,False,0.0,False
